reference,mpn,pin,pin_name,electrical_type,net,sheet
J1,USB4105-GF-A,A1,A1,power_out,GND,01_usb_c
J1,USB4105-GF-A,A4,A4,power_out,USB_VBUS,01_usb_c
J1,USB4105-GF-A,A5,A5,passive,CC1,01_usb_c
J1,USB4105-GF-A,A6,A6,passive,USB_DP_CONN,01_usb_c
J1,USB4105-GF-A,A7,A7,passive,USB_DM_CONN,01_usb_c
J1,USB4105-GF-A,A8,A8,passive,NC,01_usb_c
J1,USB4105-GF-A,A9,A9,passive,USB_VBUS,01_usb_c
J1,USB4105-GF-A,A12,A12,passive,GND,01_usb_c
J1,USB4105-GF-A,B1,B1,passive,GND,01_usb_c
J1,USB4105-GF-A,B4,B4,passive,USB_VBUS,01_usb_c
J1,USB4105-GF-A,B5,B5,passive,CC2,01_usb_c
J1,USB4105-GF-A,B6,B6,passive,USB_DP_CONN,01_usb_c
J1,USB4105-GF-A,B7,B7,passive,USB_DM_CONN,01_usb_c
J1,USB4105-GF-A,B8,B8,passive,NC,01_usb_c
J1,USB4105-GF-A,B9,B9,passive,USB_VBUS,01_usb_c
J1,USB4105-GF-A,B12,B12,passive,GND,01_usb_c
J1,USB4105-GF-A,SH,SH,passive,GND,01_usb_c
C1,GEN-C-0603-1u-16V-X7R,1,1,passive,USB_VBUS,01_usb_c
C1,GEN-C-0603-1u-16V-X7R,2,2,passive,GND,01_usb_c
D1,TPD2E2U06DCKR,1,IO1,passive,USB_DP_CONN,01_usb_c
D1,TPD2E2U06DCKR,2,IO2,passive,USB_DM_CONN,01_usb_c
D1,TPD2E2U06DCKR,3,GND,passive,GND,01_usb_c
D2,TPD2E2U06DCKR,1,IO1,passive,CC1,01_usb_c
D2,TPD2E2U06DCKR,2,IO2,passive,CC2,01_usb_c
D2,TPD2E2U06DCKR,3,GND,passive,GND,01_usb_c
U1,TUSB320LAIRWBR,1,CC1,bidirectional,CC1,01_usb_c
U1,TUSB320LAIRWBR,2,CC2,bidirectional,CC2,01_usb_c
U1,TUSB320LAIRWBR,3,PORT,input,GND,01_usb_c
U1,TUSB320LAIRWBR,4,VBUS_DET,input,VBUS_DET,01_usb_c
U1,TUSB320LAIRWBR,5,ADDR,input,NC,01_usb_c
U1,TUSB320LAIRWBR,6,OUT3,open_collector,NC,01_usb_c
U1,TUSB320LAIRWBR,7,OUT1,open_collector,USB_DEFAULT_N,01_usb_c
U1,TUSB320LAIRWBR,8,OUT2,open_collector,NC,01_usb_c
U1,TUSB320LAIRWBR,9,ID,open_collector,NC,01_usb_c
U1,TUSB320LAIRWBR,10,GND,power_in,GND,01_usb_c
U1,TUSB320LAIRWBR,11,EN_N,input,GND,01_usb_c
U1,TUSB320LAIRWBR,12,VDD,power_in,USB_VBUS,01_usb_c
R1,GEN-R-0402-900k-1%,1,1,passive,USB_VBUS,01_usb_c
R1,GEN-R-0402-900k-1%,2,2,passive,VBUS_DET,01_usb_c
R2,GEN-R-0402-10k-1%,1,1,passive,USB_VBUS,01_usb_c
R2,GEN-R-0402-10k-1%,2,2,passive,USB_DEFAULT_N,01_usb_c
