reference,mpn,pin,pin_name,electrical_type,net,sheet
U10,STM32G474CEU6,1,VBAT,power_in,3V3,04_stm32
U10,STM32G474CEU6,2,PC13,bidirectional,NC,04_stm32
U10,STM32G474CEU6,3,PC14,bidirectional,NC,04_stm32
U10,STM32G474CEU6,4,PC15,bidirectional,NC,04_stm32
U10,STM32G474CEU6,5,PF0,bidirectional,HSE_IN,04_stm32
U10,STM32G474CEU6,6,PF1,bidirectional,HSE_OUT,04_stm32
U10,STM32G474CEU6,7,PG10,bidirectional,SYS_RESET_N,04_stm32
U10,STM32G474CEU6,8,PA0,bidirectional,ESP_RTS,04_stm32
U10,STM32G474CEU6,9,PA1,bidirectional,STM_RTS_SRC,04_stm32
U10,STM32G474CEU6,10,PA2,bidirectional,STM_TX_SRC,04_stm32
U10,STM32G474CEU6,11,PA3,bidirectional,ESP_TX,04_stm32
U10,STM32G474CEU6,12,PA4,bidirectional,STB1_REQ,04_stm32
U10,STM32G474CEU6,13,PA5,bidirectional,STB2_REQ,04_stm32
U10,STM32G474CEU6,14,PA6,bidirectional,FT_EN_REQ,04_stm32
U10,STM32G474CEU6,15,PA7,bidirectional,STM_ARM_EDGE,04_stm32
U10,STM32G474CEU6,16,PC4,bidirectional,NC,04_stm32
U10,STM32G474CEU6,17,PB0,bidirectional,WD_PULSE,04_stm32
U10,STM32G474CEU6,18,PB1,bidirectional,GATE_SENSE,04_stm32
U10,STM32G474CEU6,19,PB2,bidirectional,AUTO_GOOD_MCU,04_stm32
U10,STM32G474CEU6,20,VREF+,input,VDDA,04_stm32
U10,STM32G474CEU6,21,VDDA,power_in,VDDA,04_stm32
U10,STM32G474CEU6,22,PB10,bidirectional,NC,04_stm32
U10,STM32G474CEU6,23,VDD,power_in,3V3,04_stm32
U10,STM32G474CEU6,24,PB11,bidirectional,NC,04_stm32
U10,STM32G474CEU6,25,PB12,bidirectional,CAN2_RX,04_stm32
U10,STM32G474CEU6,26,PB13,bidirectional,CAN2_TX_REQ,04_stm32
U10,STM32G474CEU6,27,PB14,bidirectional,FT_ERR_N,04_stm32
U10,STM32G474CEU6,28,PB15,bidirectional,NC,04_stm32
U10,STM32G474CEU6,29,PC6,bidirectional,NC,04_stm32
U10,STM32G474CEU6,30,PA8,bidirectional,CAN3_RX,04_stm32
U10,STM32G474CEU6,31,PA9,bidirectional,NC,04_stm32
U10,STM32G474CEU6,32,PA10,bidirectional,NC,04_stm32
U10,STM32G474CEU6,33,PA11,bidirectional,CAN1_RX,04_stm32
U10,STM32G474CEU6,34,PA12,bidirectional,CAN1_TX_REQ,04_stm32
U10,STM32G474CEU6,35,VDD,power_in,3V3,04_stm32
U10,STM32G474CEU6,36,PA13,bidirectional,SWDIO,04_stm32
U10,STM32G474CEU6,37,PA14,bidirectional,SWCLK,04_stm32
U10,STM32G474CEU6,38,PA15,bidirectional,CAN3_TX_REQ,04_stm32
U10,STM32G474CEU6,39,PC10,bidirectional,NC,04_stm32
U10,STM32G474CEU6,40,PC11,bidirectional,NC,04_stm32
