ref,value,mpn,footprint,spec,source,dnp,sheet,note
J1,Waveshare 2x16 mating male,GEN-2x16-MALE-2.54,CANView:Connector_PinHeader_2.54mm__PinHeader_2x16_P2.54mm_Vertical,"Mates with board female socket;2.54mm pitch verified, insertion height/board-side orientation require mechanical check;5V only when host source provides it",waveshare-controller schematic and official STEP HEADER-SMD-F-2_54-2X16PIN,False,01_waveshare_header,
C1,4.7u,GEN-C-0603-4.7u-16V-X7R,CANView:Capacitor_SMD__C_0603_1608Metric,16V; ±10%; X7R; -55..125C; verify effective capacitance under DC bias,,False,01_waveshare_header,
C2,100n,GEN-C-0402-100n-16V-X7R,CANView:Capacitor_SMD__C_0402_1005Metric,16V; ±10%; X7R; -55..125C; verify effective capacitance under DC bias,,False,01_waveshare_header,
U1,SN65LVDS1DBVR,SN65LVDS1DBVR,CANView:Package_TO_SOT_SMD__SOT-23-5,3.3V LVDS endpoint; 100ohm twisted pair; shared ground required,"sn65lvds1: pp3-4 DBV pin functions, timing tables",False,02_i2s_differential,
C3,100n,GEN-C-0402-100n-16V-X7R,CANView:Capacitor_SMD__C_0402_1005Metric,16V; ±10%; X7R; -55..125C; verify effective capacitance under DC bias,,False,02_i2s_differential,
U2,SN65LVDS1DBVR,SN65LVDS1DBVR,CANView:Package_TO_SOT_SMD__SOT-23-5,3.3V LVDS endpoint; 100ohm twisted pair; shared ground required,"sn65lvds1: pp3-4 DBV pin functions, timing tables",False,02_i2s_differential,
C4,100n,GEN-C-0402-100n-16V-X7R,CANView:Capacitor_SMD__C_0402_1005Metric,16V; ±10%; X7R; -55..125C; verify effective capacitance under DC bias,,False,02_i2s_differential,
R1,100,GEN-R-0402-100-1%,CANView:Resistor_SMD__R_0402_1005Metric,0.1W; 50V; ±1%; ±100ppm/K; -55..155C,,False,02_i2s_differential,100ohm receiver-end differential termination; do not add at transmitter
U3,SN65LVDS2DBVR,SN65LVDS2DBVR,CANView:Package_TO_SOT_SMD__SOT-23-5,3.3V LVDS endpoint; 100ohm twisted pair; shared ground required,"sn65lvds1: pp3-4 DBV pin functions, timing tables",False,02_i2s_differential,
C5,100n,GEN-C-0402-100n-16V-X7R,CANView:Capacitor_SMD__C_0402_1005Metric,16V; ±10%; X7R; -55..125C; verify effective capacitance under DC bias,,False,02_i2s_differential,
J2,REMOTE MIC / NOT ETHERNET,SM08B-GHS-TB(LF)(SN),CANView:Connector_JST__JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal,"8-wire4twisted-pairs; keyed GH8 both ends;1:1 cable <=3m design target, SI qualification required",jst-gh,False,03_mic_cable,
F1,0.10A PTC,MF-PSMF010X-2,CANView:Fuse__Fuse_0805_2012Metric,15V;Ihold0.1A@23C;Itrip0.3A;R1max7.5ohm;trip<=1.5s@0.5A; -40..85C; not a precision limiter,bourns-psmf:pp1-3,False,03_mic_cable,
C6,1u,GEN-C-0603-1u-16V-X7R,CANView:Capacitor_SMD__C_0603_1608Metric,16V; ±10%; X7R; -55..125C; verify effective capacitance under DC bias,,False,03_mic_cable,
D1,TPD2E2U06DCKR,TPD2E2U06DCKR,CANView:Package_TO_SOT_SMD__SOT-323_SC-70,"5.5V standoff;1.5pF typical; ESD only, not DC overvoltage protection","tpd2e2u06:p3 DCK pins1/2=IO,pin3=GND",False,03_mic_cable,
D2,TPD2E2U06DCKR,TPD2E2U06DCKR,CANView:Package_TO_SOT_SMD__SOT-323_SC-70,"5.5V standoff;1.5pF typical; ESD only, not DC overvoltage protection","tpd2e2u06:p3 DCK pins1/2=IO,pin3=GND",False,03_mic_cable,
D3,TPD2E2U06DCKR,TPD2E2U06DCKR,CANView:Package_TO_SOT_SMD__SOT-323_SC-70,"5.5V standoff;1.5pF typical; ESD only, not DC overvoltage protection","tpd2e2u06:p3 DCK pins1/2=IO,pin3=GND",False,03_mic_cable,
