reference,mpn,pin,pin_name,electrical_type,net,sheet
J1,GEN-2x16-MALE-2.54,1,BAT_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,2,5V_IN,power_out,HOST5V,01_waveshare_header
J1,GEN-2x16-MALE-2.54,3,GND,power_out,GND,01_waveshare_header
J1,GEN-2x16-MALE-2.54,4,GND,passive,GND,01_waveshare_header
J1,GEN-2x16-MALE-2.54,5,GPIO21_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,6,USB_DM_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,7,GPIO38,passive,MIC_BCLK,01_waveshare_header
J1,GEN-2x16-MALE-2.54,8,USB_DP_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,9,GPIO39,passive,MIC_WS,01_waveshare_header
J1,GEN-2x16-MALE-2.54,10,GPIO11_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,11,GPIO40,passive,MIC_SD,01_waveshare_header
J1,GEN-2x16-MALE-2.54,12,GPIO10_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,13,GPIO41_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,14,GPIO9_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,15,GPIO42_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,16,GPIO17_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,17,GPIO45_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,18,GPIO18_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,19,GPIO46_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,20,BOOT_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,21,GPIO47_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,22,RESET_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,23,GPIO48_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,24,PWR_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,25,RXD44_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,26,SCL7_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,27,TXD43_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,28,SDA8_NC,passive,NC,01_waveshare_header
J1,GEN-2x16-MALE-2.54,29,GND,passive,GND,01_waveshare_header
J1,GEN-2x16-MALE-2.54,30,GND,passive,GND,01_waveshare_header
J1,GEN-2x16-MALE-2.54,31,3V3_IN,power_out,3V3,01_waveshare_header
J1,GEN-2x16-MALE-2.54,32,3V3_IN,passive,3V3,01_waveshare_header
C1,GEN-C-0603-4.7u-16V-X7R,1,1,passive,HOST5V,01_waveshare_header
C1,GEN-C-0603-4.7u-16V-X7R,2,2,passive,GND,01_waveshare_header
C2,GEN-C-0402-100n-16V-X7R,1,1,passive,3V3,01_waveshare_header
C2,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,01_waveshare_header
U1,SN65LVDS1DBVR,1,VCC,power_in,3V3,02_i2s_differential
U1,SN65LVDS1DBVR,2,GND,power_in,GND,02_i2s_differential
U1,SN65LVDS1DBVR,3,Z_N,output,CLK_N,02_i2s_differential
U1,SN65LVDS1DBVR,4,Y_P,output,CLK_P,02_i2s_differential
U1,SN65LVDS1DBVR,5,D,input,MIC_BCLK,02_i2s_differential
C3,GEN-C-0402-100n-16V-X7R,1,1,passive,3V3,02_i2s_differential
C3,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,02_i2s_differential
U2,SN65LVDS1DBVR,1,VCC,power_in,3V3,02_i2s_differential
U2,SN65LVDS1DBVR,2,GND,power_in,GND,02_i2s_differential
U2,SN65LVDS1DBVR,3,Z_N,output,WS_N,02_i2s_differential
U2,SN65LVDS1DBVR,4,Y_P,output,WS_P,02_i2s_differential
U2,SN65LVDS1DBVR,5,D,input,MIC_WS,02_i2s_differential
C4,GEN-C-0402-100n-16V-X7R,1,1,passive,3V3,02_i2s_differential
C4,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,02_i2s_differential
R1,GEN-R-0402-100-1%,1,1,passive,DATA_P,02_i2s_differential
R1,GEN-R-0402-100-1%,2,2,passive,DATA_N,02_i2s_differential
U3,SN65LVDS2DBVR,1,VCC,power_in,3V3,02_i2s_differential
U3,SN65LVDS2DBVR,2,GND,power_in,GND,02_i2s_differential
U3,SN65LVDS2DBVR,3,A_P,input,DATA_P,02_i2s_differential
U3,SN65LVDS2DBVR,4,B_N,input,DATA_N,02_i2s_differential
U3,SN65LVDS2DBVR,5,R,output,MIC_SD,02_i2s_differential
C5,GEN-C-0402-100n-16V-X7R,1,1,passive,3V3,02_i2s_differential
C5,GEN-C-0402-100n-16V-X7R,2,2,passive,GND,02_i2s_differential
J2,SM08B-GHS-TB(LF)(SN),1,5V,passive,MIC5V,03_mic_cable
J2,SM08B-GHS-TB(LF)(SN),2,GND,passive,GND,03_mic_cable
J2,SM08B-GHS-TB(LF)(SN),3,BCLK_P,passive,CLK_P,03_mic_cable
J2,SM08B-GHS-TB(LF)(SN),4,BCLK_N,passive,CLK_N,03_mic_cable
J2,SM08B-GHS-TB(LF)(SN),5,WS_P,passive,WS_P,03_mic_cable
J2,SM08B-GHS-TB(LF)(SN),6,WS_N,passive,WS_N,03_mic_cable
J2,SM08B-GHS-TB(LF)(SN),7,DATA_P,passive,DATA_P,03_mic_cable
J2,SM08B-GHS-TB(LF)(SN),8,DATA_N,passive,DATA_N,03_mic_cable
J2,SM08B-GHS-TB(LF)(SN),MP,MECHANICAL_NC,passive,NC,03_mic_cable
