reference,mpn,pin,pin_name,electrical_type,net,sheet
J1,SM08B-GHS-TB(LF)(SN),1,5V,passive,MIC5V,01_receiver_power
J1,SM08B-GHS-TB(LF)(SN),2,GND,passive,GND,01_receiver_power
J1,SM08B-GHS-TB(LF)(SN),3,BCLK_P,passive,CLK_P,01_receiver_power
J1,SM08B-GHS-TB(LF)(SN),4,BCLK_N,passive,CLK_N,01_receiver_power
J1,SM08B-GHS-TB(LF)(SN),5,WS_P,passive,WS_P,01_receiver_power
J1,SM08B-GHS-TB(LF)(SN),6,WS_N,passive,WS_N,01_receiver_power
J1,SM08B-GHS-TB(LF)(SN),7,DATA_P,passive,DATA_P,01_receiver_power
J1,SM08B-GHS-TB(LF)(SN),8,DATA_N,passive,DATA_N,01_receiver_power
J1,SM08B-GHS-TB(LF)(SN),MP,MECHANICAL_NC,passive,NC,01_receiver_power
U1,TPS7A2033PDBVR,1,IN,power_in,MIC5V,01_receiver_power
U1,TPS7A2033PDBVR,2,GND,power_in,GND,01_receiver_power
U1,TPS7A2033PDBVR,3,EN,input,MIC5V,01_receiver_power
U1,TPS7A2033PDBVR,4,NC,passive,NC,01_receiver_power
U1,TPS7A2033PDBVR,5,OUT,power_out,3V3,01_receiver_power
C1,GEN-C-0603-1u-16V-X7R,1,1,passive,MIC5V,01_receiver_power
C1,GEN-C-0603-1u-16V-X7R,2,2,passive,GND,01_receiver_power
C2,GEN-C-0603-2.2u-16V-X7R,1,1,passive,3V3,01_receiver_power
C2,GEN-C-0603-2.2u-16V-X7R,2,2,passive,GND,01_receiver_power
U2,TPS7A2018PDBVR,1,IN,power_in,3V3,01_receiver_power
U2,TPS7A2018PDBVR,2,GND,power_in,GND,01_receiver_power
U2,TPS7A2018PDBVR,3,EN,input,3V3,01_receiver_power
U2,TPS7A2018PDBVR,4,NC,passive,NC,01_receiver_power
U2,TPS7A2018PDBVR,5,OUT,power_out,1V8,01_receiver_power
C3,GEN-C-0603-1u-16V-X7R,1,1,passive,3V3,01_receiver_power
C3,GEN-C-0603-1u-16V-X7R,2,2,passive,GND,01_receiver_power
C4,GEN-C-0603-2.2u-16V-X7R,1,1,passive,1V8,01_receiver_power
C4,GEN-C-0603-2.2u-16V-X7R,2,2,passive,GND,01_receiver_power
